1887 481 321
159 263 0 0
160 262 0 0
159 262 0 0
158 262 0 0
161 261 0 0
160 261 0 0
159 261 0 0
158 261 0 0
157 261 0 0
161 260 0 0
160 260 0 0
159 260 0 0
158 260 0 0
157 260 0 0
156 260 0 0
160 259 0 0
159 259 0 0
158 259 0 0
157 259 0 0
156 259 0 0
159 258 0 0
158 258 0 0
157 258 0 0
156 258 0 0
155 258 0 0
159 257 0 0
158 257 0 0
157 257 0 0
156 257 0 0
155 257 0 0
158 256 0 0
157 256 0 0
156 256 0 0
155 256 0 0
154 256 0 0
157 255 0 0
156 255 0 0
155 255 0 0
154 255 0 0
153 255 0 0
156 254 0 0
155 254 0 0
154 254 0 0
153 254 0 0
156 253 0 0
155 253 0 0
154 253 0 0
153 253 0 0
152 253 0 0
155 252 0 0
154 252 0 0
153 252 0 0
152 252 0 0
151 252 0 0
153 251 0 0
152 251 0 0
151 251 0 0
150 251 0 0
152 250 0 0
151 250 0 0
150 250 0 0
149 250 0 0
152 249 0 0
151 249 0 0
150 249 0 0
149 249 0 0
148 249 0 0
152 248 0 0
151 248 0 0
150 248 0 0
149 248 0 0
148 248 0 0
147 248 0 0
151 247 0 0
150 247 0 0
149 247 0 0
148 247 0 0
147 247 0 0
146 247 0 0
150 246 0 0
149 246 0 0
148 246 0 0
147 246 0 0
146 246 0 0
149 245 0 0
148 245 0 0
147 245 0 0
146 245 0 0
145 245 0 0
149 244 0 0
148 244 0 0
147 244 0 0
146 244 0 0
145 244 0 0
144 244 0 0
148 243 0 0
147 243 0 0
146 243 0 0
145 243 0 0
144 243 0 0
143 243 0 0
147 242 0 0
146 242 0 0
145 242 0 0
144 242 0 0
143 242 0 0
142 242 0 0
146 241 0 0
145 241 0 0
144 241 0 0
143 241 0 0
142 241 0 0
141 241 0 0
145 240 0 0
144 240 0 0
143 240 0 0
142 240 0 0
141 240 0 0
144 239 0 0
143 239 0 0
142 239 0 0
141 239 0 0
140 239 0 0
144 238 0 0
143 238 0 0
142 238 0 0
141 238 0 0
140 238 0 0
139 238 0 0
143 237 0 0
142 237 0 0
141 237 0 0
140 237 0 0
139 237 0 0
138 237 0 0
142 236 0 0
141 236 0 0
140 236 0 0
139 236 0 0
138 236 0 0
137 236 0 0
141 235 0 0
140 235 0 0
139 235 0 0
138 235 0 0
137 235 0 0
136 235 0 0
140 234 0 0
139 234 0 0
138 234 0 0
137 234 0 0
136 234 0 0
139 233 0 0
138 233 0 0
137 233 0 0
136 233 0 0
135 233 0 0
138 232 0 0
137 232 0 0
136 232 0 0
135 232 0 0
134 232 0 0
138 231 0 0
137 231 0 0
136 231 0 0
135 231 0 0
134 231 0 0
133 231 0 0
137 230 0 0
136 230 0 0
135 230 0 0
134 230 0 0
133 230 0 0
136 229 0 0
135 229 0 0
134 229 0 0
133 229 0 0
132 229 0 0
135 228 0 0
134 228 0 0
133 228 0 0
132 228 0 0
131 228 0 0
134 227 0 0
133 227 0 0
132 227 0 0
131 227 0 0
130 227 0 0
133 226 0 0
132 226 0 0
131 226 0 0
130 226 0 0
129 226 0 0
133 225 0 0
132 225 0 0
131 225 0 0
130 225 0 0
129 225 0 0
128 225 0 0
132 224 0 0
131 224 0 0
130 224 0 0
129 224 0 0
128 224 0 0
131 223 0 0
130 223 0 0
129 223 0 0
128 223 0 0
127 223 0 0
130 222 0 0
129 222 0 0
128 222 0 0
127 222 0 0
126 222 0 0
129 221 0 0
128 221 0 0
127 221 0 0
126 221 0 0
125 221 0 0
128 220 0 0
127 220 0 0
126 220 0 0
125 220 0 0
124 220 0 0
128 219 0 0
127 219 0 0
126 219 0 0
125 219 0 0
124 219 0 0
123 219 0 0
127 218 0 0
126 218 0 0
125 218 0 0
124 218 0 0
123 218 0 0
126 217 0 0
125 217 0 0
124 217 0 0
123 217 0 0
122 217 0 0
125 216 0 0
124 216 0 0
123 216 0 0
122 216 0 0
121 216 0 0
125 215 0 0
124 215 0 0
123 215 0 0
122 215 0 0
121 215 0 0
120 215 0 0
124 214 0 0
123 214 0 0
122 214 0 0
121 214 0 0
120 214 0 0
119 214 0 0
123 213 0 0
122 213 0 0
121 213 0 0
120 213 0 0
119 213 0 0
118 213 0 0
122 212 0 0
121 212 0 0
120 212 0 0
119 212 0 0
118 212 0 0
117 212 0 0
121 211 0 0
120 211 0 0
119 211 0 0
118 211 0 0
117 211 0 0
120 210 0 0
119 210 0 0
118 210 0 0
117 210 0 0
116 210 0 0
120 209 0 0
119 209 0 0
118 209 0 0
117 209 0 0
116 209 0 0
115 209 0 0
119 208 0 0
118 208 0 0
117 208 0 0
116 208 0 0
115 208 0 0
114 208 0 0
118 207 0 0
117 207 0 0
116 207 0 0
115 207 0 0
114 207 0 0
113 207 0 0
117 206 0 0
116 206 0 0
115 206 0 0
114 206 0 0
113 206 0 0
112 206 0 0
115 205 0 0
114 205 0 0
113 205 0 0
112 205 0 0
111 205 0 0
115 204 0 0
114 204 0 0
113 204 0 0
112 204 0 0
111 204 0 0
110 204 0 0
114 203 0 0
113 203 0 0
112 203 0 0
111 203 0 0
110 203 0 0
109 203 0 0
113 202 0 0
112 202 0 0
111 202 0 0
110 202 0 0
109 202 0 0
112 201 0 0
111 201 0 0
110 201 0 0
109 201 0 0
111 200 0 0
110 200 0 0
109 200 0 0
108 200 0 0
110 199 0 0
109 199 0 0
108 199 0 0
107 199 0 0
110 198 0 0
109 198 0 0
108 198 0 0
107 198 0 0
106 198 0 0
109 197 0 0
108 197 0 0
107 197 0 0
106 197 0 0
105 197 0 0
108 196 0 0
107 196 0 0
106 196 0 0
105 196 0 0
108 195 0 0
107 195 0 0
106 195 0 0
105 195 0 0
104 195 0 0
107 194 0 0
106 194 0 0
105 194 0 0
104 194 0 0
103 194 0 0
106 193 0 0
105 193 0 0
104 193 0 0
103 193 0 0
102 193 0 0
101 193 0 0
105 192 0 0
104 192 0 0
103 192 0 0
102 192 0 0
101 192 0 0
100 192 0 0
99 192 0 0
104 191 0 0
103 191 0 0
102 191 0 0
101 191 0 0
100 191 0 0
99 191 0 0
98 191 0 0
103 190 0 0
