4073 284 398
72 371 0 0
71 371 0 0
70 371 0 0
69 371 0 0
68 371 0 0
77 370 0 0
76 370 0 0
75 370 0 0
74 370 0 0
73 370 0 0
72 370 0 0
71 370 0 0
70 370 0 0
69 370 0 0
68 370 0 0
78 369 0 0
77 369 0 0
76 369 0 0
75 369 0 0
74 369 0 0
73 369 0 0
72 369 0 0
71 369 0 0
70 369 0 0
69 369 0 0
68 369 0 0
79 368 0 0
78 368 0 0
77 368 0 0
76 368 0 0
75 368 0 0
74 368 0 0
73 368 0 0
72 368 0 0
71 368 0 0
70 368 0 0
69 368 0 0
68 368 0 0
82 367 0 0
81 367 0 0
80 367 0 0
79 367 0 0
78 367 0 0
77 367 0 0
76 367 0 0
75 367 0 0
74 367 0 0
73 367 0 0
72 367 0 0
71 367 0 0
70 367 0 0
84 366 0 0
83 366 0 0
82 366 0 0
81 366 0 0
80 366 0 0
79 366 0 0
78 366 0 0
77 366 0 0
76 366 0 0
75 366 0 0
74 366 0 0
73 366 0 0
86 365 0 0
85 365 0 0
84 365 0 0
83 365 0 0
82 365 0 0
81 365 0 0
80 365 0 0
79 365 0 0
78 365 0 0
77 365 0 0
76 365 0 0
90 364 0 0
89 364 0 0
88 364 0 0
87 364 0 0
86 364 0 0
85 364 0 0
84 364 0 0
83 364 0 0
82 364 0 0
81 364 0 0
80 364 0 0
79 364 0 0
78 364 0 0
77 364 0 0
92 363 0 0
91 363 0 0
90 363 0 0
89 363 0 0
88 363 0 0
87 363 0 0
86 363 0 0
85 363 0 0
84 363 0 0
83 363 0 0
82 363 0 0
81 363 0 0
80 363 0 0
79 363 0 0
78 363 0 0
93 362 0 0
92 362 0 0
91 362 0 0
90 362 0 0
89 362 0 0
88 362 0 0
87 362 0 0
86 362 0 0
85 362 0 0
84 362 0 0
83 362 0 0
82 362 0 0
81 362 0 0
95 361 0 0
94 361 0 0
93 361 0 0
92 361 0 0
91 361 0 0
90 361 0 0
89 361 0 0
88 361 0 0
87 361 0 0
86 361 0 0
85 361 0 0
84 361 0 0
83 361 0 0
97 360 0 0
96 360 0 0
95 360 0 0
94 360 0 0
93 360 0 0
92 360 0 0
91 360 0 0
90 360 0 0
89 360 0 0
88 360 0 0
87 360 0 0
86 360 0 0
101 359 0 0
100 359 0 0
99 359 0 0
98 359 0 0
97 359 0 0
96 359 0 0
95 359 0 0
94 359 0 0
93 359 0 0
92 359 0 0
91 359 0 0
90 359 0 0
89 359 0 0
103 358 0 0
102 358 0 0
101 358 0 0
100 358 0 0
99 358 0 0
98 358 0 0
97 358 0 0
96 358 0 0
95 358 0 0
94 358 0 0
93 358 0 0
92 358 0 0
91 358 0 0
105 357 0 0
104 357 0 0
103 357 0 0
102 357 0 0
101 357 0 0
100 357 0 0
99 357 0 0
98 357 0 0
97 357 0 0
96 357 0 0
95 357 0 0
94 357 0 0
93 357 0 0
109 356 0 0
108 356 0 0
107 356 0 0
106 356 0 0
105 356 0 0
104 356 0 0
103 356 0 0
102 356 0 0
101 356 0 0
100 356 0 0
99 356 0 0
98 356 0 0
97 356 0 0
96 356 0 0
95 356 0 0
94 356 0 0
113 355 0 0
112 355 0 0
111 355 0 0
110 355 0 0
109 355 0 0
108 355 0 0
107 355 0 0
106 355 0 0
105 355 0 0
104 355 0 0
103 355 0 0
102 355 0 0
101 355 0 0
100 355 0 0
99 355 0 0
98 355 0 0
97 355 0 0
96 355 0 0
115 354 0 0
114 354 0 0
113 354 0 0
112 354 0 0
111 354 0 0
110 354 0 0
109 354 0 0
108 354 0 0
107 354 0 0
106 354 0 0
105 354 0 0
104 354 0 0
103 354 0 0
102 354 0 0
101 354 0 0
100 354 0 0
117 353 0 0
116 353 0 0
115 353 0 0
114 353 0 0
113 353 0 0
112 353 0 0
111 353 0 0
110 353 0 0
109 353 0 0
108 353 0 0
107 353 0 0
106 353 0 0
105 353 0 0
104 353 0 0
103 353 0 0
102 353 0 0
122 352 0 0
121 352 0 0
120 352 0 0
119 352 0 0
118 352 0 0
117 352 0 0
116 352 0 0
115 352 0 0
114 352 0 0
113 352 0 0
112 352 0 0
111 352 0 0
110 352 0 0
109 352 0 0
108 352 0 0
107 352 0 0
106 352 0 0
105 352 0 0
104 352 0 0
128 351 0 0
127 351 0 0
126 351 0 0
125 351 0 0
124 351 0 0
123 351 0 0
122 351 0 0
121 351 0 0
120 351 0 0
119 351 0 0
118 351 0 0
117 351 0 0
116 351 0 0
115 351 0 0
