5536 600 450
434 379 0 0
433 379 0 0
432 379 0 0
431 379 0 0
430 379 0 0
435 378 0 0
434 378 0 0
433 378 0 0
432 378 0 0
431 378 0 0
430 378 0 0
435 377 0 0
434 377 0 0
433 377 0 0
432 377 0 0
431 377 0 0
430 377 0 0
436 376 0 0
435 376 0 0
434 376 0 0
433 376 0 0
432 376 0 0
431 376 0 0
430 376 0 0
437 375 0 0
436 375 0 0
435 375 0 0
434 375 0 0
433 375 0 0
432 375 0 0
437 374 0 0
436 374 0 0
435 374 0 0
434 374 0 0
433 374 0 0
432 374 0 0
438 373 0 0
437 373 0 0
436 373 0 0
435 373 0 0
434 373 0 0
433 373 0 0
438 372 0 0
437 372 0 0
436 372 0 0
435 372 0 0
434 372 0 0
439 371 0 0
438 371 0 0
437 371 0 0
436 371 0 0
435 371 0 0
434 371 0 0
439 370 0 0
438 370 0 0
437 370 0 0
436 370 0 0
435 370 0 0
439 369 0 0
438 369 0 0
437 369 0 0
436 369 0 0
435 369 0 0
439 368 0 0
438 368 0 0
437 368 0 0
436 368 0 0
435 368 0 0
439 367 0 0
438 367 0 0
437 367 0 0
436 367 0 0
435 367 0 0
163 367 0 0
162 367 0 0
161 367 0 0
160 367 0 0
440 366 0 0
439 366 0 0
438 366 0 0
437 366 0 0
436 366 0 0
435 366 0 0
163 366 0 0
162 366 0 0
161 366 0 0
160 366 0 0
159 366 0 0
440 365 0 0
439 365 0 0
438 365 0 0
437 365 0 0
436 365 0 0
163 365 0 0
162 365 0 0
161 365 0 0
160 365 0 0
159 365 0 0
158 365 0 0
441 364 0 0
440 364 0 0
439 364 0 0
438 364 0 0
437 364 0 0
436 364 0 0
163 364 0 0
162 364 0 0
161 364 0 0
160 364 0 0
159 364 0 0
158 364 0 0
157 364 0 0
441 363 0 0
440 363 0 0
439 363 0 0
438 363 0 0
437 363 0 0
436 363 0 0
163 363 0 0
162 363 0 0
161 363 0 0
160 363 0 0
159 363 0 0
158 363 0 0
157 363 0 0
442 362 0 0
441 362 0 0
440 362 0 0
439 362 0 0
438 362 0 0
437 362 0 0
161 362 0 0
160 362 0 0
159 362 0 0
158 362 0 0
157 362 0 0
156 362 0 0
442 361 0 0
441 361 0 0
440 361 0 0
439 361 0 0
438 361 0 0
437 361 0 0
161 361 0 0
160 361 0 0
159 361 0 0
158 361 0 0
157 361 0 0
156 361 0 0
155 361 0 0
443 360 0 0
442 360 0 0
441 360 0 0
440 360 0 0
439 360 0 0
438 360 0 0
160 360 0 0
159 360 0 0
158 360 0 0
157 360 0 0
156 360 0 0
155 360 0 0
154 360 0 0
443 359 0 0
442 359 0 0
441 359 0 0
440 359 0 0
439 359 0 0
438 359 0 0
159 359 0 0
158 359 0 0
157 359 0 0
156 359 0 0
155 359 0 0
154 359 0 0
443 358 0 0
442 358 0 0
441 358 0 0
440 358 0 0
439 358 0 0
158 358 0 0
157 358 0 0
156 358 0 0
155 358 0 0
154 358 0 0
153 358 0 0
444 357 0 0
443 357 0 0
442 357 0 0
441 357 0 0
440 357 0 0
439 357 0 0
158 357 0 0
157 357 0 0
156 357 0 0
155 357 0 0
154 357 0 0
153 357 0 0
152 357 0 0
444 356 0 0
443 356 0 0
442 356 0 0
441 356 0 0
440 356 0 0
439 356 0 0
157 356 0 0
156 356 0 0
155 356 0 0
154 356 0 0
153 356 0 0
152 356 0 0
444 355 0 0
443 355 0 0
442 355 0 0
441 355 0 0
440 355 0 0
156 355 0 0
155 355 0 0
154 355 0 0
153 355 0 0
152 355 0 0
151 355 0 0
445 354 0 0
444 354 0 0
443 354 0 0
442 354 0 0
441 354 0 0
440 354 0 0
155 354 0 0
154 354 0 0
153 354 0 0
152 354 0 0
151 354 0 0
150 354 0 0
445 353 0 0
444 353 0 0
443 353 0 0
442 353 0 0
441 353 0 0
440 353 0 0
155 353 0 0
154 353 0 0
153 353 0 0
152 353 0 0
151 353 0 0
150 353 0 0
446 352 0 0
445 352 0 0
444 352 0 0
443 352 0 0
442 352 0 0
441 352 0 0
212 352 0 1
211 352 0 1
210 352 0 1
209 352 0 1
154 352 0 0
153 352 0 0
152 352 0 0
151 352 0 0
150 352 0 0
149 352 0 0
446 351 0 0
445 351 0 0
444 351 0 0
443 351 0 0
442 351 0 0
441 351 0 0
212 351 0 1
211 351 0 1
210 351 0 1
209 351 0 1
153 351 0 0
152 351 0 0
151 351 0 0
150 351 0 0
149 351 0 0
148 351 0 0
447 350 0 0
446 350 0 0
445 350 0 0
444 350 0 0
443 350 0 0
442 350 0 0
213 350 0 1
212 350 0 1
211 350 0 1
210 350 0 1
209 350 0 1
153 350 0 0
152 350 0 0
151 350 0 0
150 350 0 0
149 350 0 0
148 350 0 0
147 350 0 0
447 349 0 0
446 349 0 0
445 349 0 0
444 349 0 0
443 349 0 0
442 349 0 0
214 349 0 1
213 349 0 1
212 349 0 1
211 349 0 1
210 349 0 1
209 349 0 1
152 349 0 0
151 349 0 0
150 349 0 0
149 349 0 0
148 349 0 0
147 349 0 0
146 349 0 0
448 348 0 0
447 348 0 0
