5989 481 321
264 320 0 1
263 320 0 1
262 320 0 1
261 320 0 1
324 319 0 1
323 319 0 1
322 319 0 1
321 319 0 1
264 319 0 1
263 319 0 1
262 319 0 1
261 319 0 1
324 318 0 1
323 318 0 1
322 318 0 1
321 318 0 1
265 318 0 1
264 318 0 1
263 318 0 1
262 318 0 1
261 318 0 1
324 317 0 1
323 317 0 1
322 317 0 1
321 317 0 1
265 317 0 1
264 317 0 1
263 317 0 1
262 317 0 1
261 317 0 1
324 316 0 1
323 316 0 1
322 316 0 1
321 316 0 1
265 316 0 1
264 316 0 1
263 316 0 1
262 316 0 1
261 316 0 1
324 315 0 1
323 315 0 1
322 315 0 1
321 315 0 1
265 315 0 1
264 315 0 1
263 315 0 1
262 315 0 1
324 314 0 1
323 314 0 1
322 314 0 1
321 314 0 1
265 314 0 1
264 314 0 1
263 314 0 1
262 314 0 1
351 313 0 0
350 313 0 0
349 313 0 0
348 313 0 0
324 313 0 1
323 313 0 1
322 313 0 1
321 313 0 1
265 313 0 1
264 313 0 1
263 313 0 1
262 313 0 1
351 312 0 0
350 312 0 0
349 312 0 0
348 312 0 0
324 312 0 1
323 312 0 1
322 312 0 1
321 312 0 1
266 312 0 1
265 312 0 1
264 312 0 1
263 312 0 1
262 312 0 1
351 311 0 0
350 311 0 0
349 311 0 0
348 311 0 0
324 311 0 1
323 311 0 1
322 311 0 1
321 311 0 1
266 311 0 1
265 311 0 1
264 311 0 1
263 311 0 1
262 311 0 1
351 310 0 0
350 310 0 0
349 310 0 0
348 310 0 0
324 310 0 1
323 310 0 1
322 310 0 1
321 310 0 1
266 310 0 1
265 310 0 1
264 310 0 1
263 310 0 1
262 310 0 1
351 309 0 0
350 309 0 0
349 309 0 0
348 309 0 0
324 309 0 1
323 309 0 1
322 309 0 1
321 309 0 1
266 309 0 1
265 309 0 1
264 309 0 1
263 309 0 1
262 309 0 1
351 308 0 0
350 308 0 0
349 308 0 0
348 308 0 0
324 308 0 1
323 308 0 1
322 308 0 1
321 308 0 1
267 308 0 1
266 308 0 1
265 308 0 1
264 308 0 1
263 308 0 1
262 308 0 1
351 307 0 0
350 307 0 0
349 307 0 0
348 307 0 0
324 307 0 1
323 307 0 1
322 307 0 1
321 307 0 1
267 307 0 1
266 307 0 1
265 307 0 1
264 307 0 1
263 307 0 1
351 306 0 0
350 306 0 0
349 306 0 0
348 306 0 0
324 306 0 1
323 306 0 1
322 306 0 1
321 306 0 1
268 306 0 1
267 306 0 1
266 306 0 1
265 306 0 1
264 306 0 1
263 306 0 1
351 305 0 0
350 305 0 0
349 305 0 0
348 305 0 0
324 305 0 1
323 305 0 1
322 305 0 1
321 305 0 1
269 305 0 1
268 305 0 1
267 305 0 1
266 305 0 1
265 305 0 1
264 305 0 1
351 304 0 0
350 304 0 0
349 304 0 0
348 304 0 0
324 304 0 1
323 304 0 1
322 304 0 1
321 304 0 1
269 304 0 1
268 304 0 1
267 304 0 1
266 304 0 1
265 304 0 1
264 304 0 1
351 303 0 0
350 303 0 0
349 303 0 0
348 303 0 0
324 303 0 1
323 303 0 1
322 303 0 1
321 303 0 1
269 303 0 1
268 303 0 1
267 303 0 1
266 303 0 1
265 303 0 1
351 302 0 0
350 302 0 0
349 302 0 0
348 302 0 0
324 302 0 1
323 302 0 1
322 302 0 1
321 302 0 1
269 302 0 1
268 302 0 1
267 302 0 1
266 302 0 1
265 302 0 1
192 302 0 0
191 302 0 0
190 302 0 0
189 302 0 0
188 302 0 0
187 302 0 0
186 302 0 0
185 302 0 0
184 302 0 0
183 302 0 0
182 302 0 0
181 302 0 0
180 302 0 0
179 302 0 0
178 302 0 0
177 302 0 0
176 302 0 0
175 302 0 0
174 302 0 0
173 302 0 0
172 302 0 0
171 302 0 0
170 302 0 0
169 302 0 0
168 302 0 0
167 302 0 0
166 302 0 0
165 302 0 0
164 302 0 0
163 302 0 0
162 302 0 0
161 302 0 0
160 302 0 0
159 302 0 0
158 302 0 0
157 302 0 0
156 302 0 0
155 302 0 0
154 302 0 0
153 302 0 0
152 302 0 0
151 302 0 0
150 302 0 0
149 302 0 0
148 302 0 0
147 302 0 0
146 302 0 0
145 302 0 0
144 302 0 0
143 302 0 0
142 302 0 0
141 302 0 0
140 302 0 0
139 302 0 0
138 302 0 0
137 302 0 0
136 302 0 0
135 302 0 0
134 302 0 0
133 302 0 0
132 302 0 0
131 302 0 0
130 302 0 0
351 301 0 0
350 301 0 0
349 301 0 0
348 301 0 0
324 301 0 1
323 301 0 1
322 301 0 1
321 301 0 1
270 301 0 1
269 301 0 1
268 301 0 1
267 301 0 1
266 301 0 1
199 301 0 0
198 301 0 0
197 301 0 0
196 301 0 0
195 301 0 0
194 301 0 0
193 301 0 0
192 301 0 0
191 301 0 0
190 301 0 0
189 301 0 0
188 301 0 0
187 301 0 0
186 301 0 0
185 301 0 0
184 301 0 0
183 301 0 0
182 301 0 0
181 301 0 0
180 301 0 0
179 301 0 0
178 301 0 0
177 301 0 0
176 301 0 0
175 301 0 0
174 301 0 0
173 301 0 0
172 301 0 0
171 301 0 0
170 301 0 0
169 301 0 0
168 301 0 0
167 301 0 0
166 301 0 0
165 301 0 0
164 301 0 0
163 301 0 0
162 301 0 0
161 301 0 0
160 301 0 0
159 301 0 0
158 301 0 0
157 301 0 0
156 301 0 0
155 301 0 0
154 301 0 0
153 301 0 0
152 301 0 0
151 301 0 0
150 301 0 0
149 301 0 0
148 301 0 0
147 301 0 0
146 301 0 0
145 301 0 0
144 301 0 0
143 301 0 0
142 301 0 0
141 301 0 0
140 301 0 0
139 301 0 0
138 301 0 0
137 301 0 0
136 301 0 0
135 301 0 0
134 301 0 0
133 301 0 0
132 301 0 0
131 301 0 0
130 301 0 0
129 301 0 0
128 301 0 0
351 300 0 0
350 300 0 0
349 300 0 0
348 300 0 0
324 300 0 1
323 300 0 1
322 300 0 1
321 300 0 1
270 300 0 1
269 300 0 1
268 300 0 1
267 300 0 1
266 300 0 1
206 300 0 0
205 300 0 0
204 300 0 0
203 300 0 0
202 300 0 0
201 300 0 0
200 300 0 0
199 300 0 0
198 300 0 0
197 300 0 0
196 300 0 0
195 300 0 0
194 300 0 0
193 300 0 0
192 300 0 0
191 300 0 0
190 300 0 0
189 300 0 0
188 300 0 0
187 300 0 0
186 300 0 0
185 300 0 0
184 300 0 0
183 300 0 0
182 300 0 0
181 300 0 0
180 300 0 0
179 300 0 0
178 300 0 0
177 300 0 0
176 300 0 0
175 300 0 0
174 300 0 0
173 300 0 0
172 300 0 0
171 300 0 0
170 300 0 0
169 300 0 0
168 300 0 0
167 300 0 0
166 300 0 0
165 300 0 0
164 300 0 0
163 300 0 0
162 300 0 0
161 300 0 0
160 300 0 0
159 300 0 0
158 300 0 0
157 300 0 0
156 300 0 0
155 300 0 0
154 300 0 0
153 300 0 0
152 300 0 0
151 300 0 0
150 300 0 0
149 300 0 0
148 300 0 0
147 300 0 0
146 300 0 0
145 300 0 0
144 300 0 0
143 300 0 0
142 300 0 0
141 300 0 0
140 300 0 0
139 300 0 0
138 300 0 0
137 300 0 0
136 300 0 0
135 300 0 0
134 300 0 0
133 300 0 0
132 300 0 0
131 300 0 0
130 300 0 0
129 300 0 0
128 300 0 0
127 300 0 0
126 300 0 0
351 299 0 0
350 299 0 0
349 299 0 0
348 299 0 0
324 299 0 1
323 299 0 1
322 299 0 1
321 299 0 1
270 299 0 1
269 299 0 1
268 299 0 1
267 299 0 1
266 299 0 1
209 299 0 0
208 299 0 0
207 299 0 0
206 299 0 0
205 299 0 0
